original_name,suggested_cas,suggested_name,confidence,notes,molecular_formula,molecular_weight,smiles,pubchem_cid,source
Oxamyl-2,23135-22-0,Oxamyl,Medium,"The input 'Oxamyl-2' does not correspond to a standard chemical name in public databases. The most plausible interpretation is that it refers to the common pesticide 'Oxamyl' (CAS 23135-22-0). The suffix '-2' is likely extraneous, possibly originating from a list enumeration (e.g., '2. Oxamyl'), a typo, or an internal laboratory code. All properties provided are for the compound Oxamyl.",C7H13N3O3S,219.067761,CN(C)C(=O)C(=NOC(=O)NC)SC,30843.0,LLM_VertexAI
"4,4'-dichlorobenzophenone",90-98-2,bis(4-chlorophenyl)methanone,High,The input name is a standard and unambiguous chemical name. A direct match was found in major public databases like PubChem and ChemSpider with consistent information.,C13H8Cl2O,250.0003204,C1=CC(=CC=C1)C(=O)C2=CC=C(C=C2)Cl,7000.0,LLM_VertexAI
Apomorphine-1,58-00-4,Apomorphine,High,"The input name 'Apomorphine-1' is not a standard chemical identifier. It is highly probable that this is a typo or a non-standard lab/batch identifier for the well-known compound 'Apomorphine'. The search was resolved to Apomorphine, and the properties below correspond to this entity.",C17H17NO2,267.12593,CN1CCC2=CC=C(C3=C2C1CC4=C3C=C(C=C4)O)O,6005.0,LLM_VertexAI
Picrotin,21416-53-5,"(1R,2R,5R,6S,7S,8R,10R,11R)-7,8-dihydroxy-6,11-dimethyl-4-methylidenespiro[3,9-dioxatricyclo[6.3.1.0^{2,5}]dodecane-1,2'-oxirane]",High,"Picrotin is a direct and unambiguous match for a known natural product. It is one of the two components of the neurotoxin Picrotoxin, the other being Picrotoxinin. Picrotin itself is considered biologically inactive.",C15H16O7,308.089598,C[C@H]1[C@@H]2[C@@]([C@H]3[C@H]([C@@]1(O2)C4(CO4)C)O)(C(=C)CO3)O,11954316.0,LLM_VertexAI
dioxacarb,6988-21-2,"2-(1,3-dioxolan-2-yl)phenyl N-methylcarbamate",High,"The input name 'dioxacarb' is a well-established ISO common name for a carbamate insecticide. The search resolved to a single, unambiguous chemical entity in public databases.",C11H13NO4,223.226,CNC(=O)OC1=CC=CC=C1C2OCO2,12760.0,LLM_VertexAI
Desacetyl Cephapirin,21593-23-7,"(6R,7R)-3-(hydroxymethyl)-8-oxo-7-{[2-(pyridin-4-yl)sulfanyl]acetamido}-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",High,The compound 'Desacetyl Cephapirin' is a known active metabolite of the antibiotic Cephapirin. It was successfully identified in public databases like PubChem and ChemSpider. The name directly corresponds to a well-characterized chemical entity. The selected properties are cross-validated between these sources.,C15H15N3O5S2,397.04531,C1=CN=C(C=C1)SCC(=O)NC2C3N(C2=O)C(=C(CS3)CO)C(=O)O,441133.0,LLM_VertexAI
"silafluofen,",105024-66-6,(4-ethoxyphenyl)-[3-(4-fluorophenyl)-3-phenylpropyl]-silane,High,"The input name was resolved to 'silafluofen' after removing the trailing comma, which is considered a typographical artifact. Silafluofen is a well-established common name for an insecticide, leading to a unique and confident match in public databases like PubChem.",C23H27FOSi,382.17911,CCOc1ccc(cc1)[SiH](CCC(c1ccc(F)cc1)c1ccccc1),91763.0,LLM_VertexAI
zeta cypermethrin,52315-07-8,zeta-Cypermethrin,High,"The input 'zeta cypermethrin' is a specific, well-known common name for an insecticidal mixture. It refers to a highly active, enriched isomeric mixture of cypermethrin, containing four specific stereoisomers. The CAS number 52315-07-8 is for the parent compound cypermethrin (a mixture of all eight stereoisomers), but it is the one most commonly associated with zeta-cypermethrin in regulatory and public databases. The molecular properties are identical to the parent cypermethrin.",C22H19Cl2NO3,415.074201,C1(C(C1(C)C)C=C(Cl)Cl)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3,12308107.0,LLM_VertexAI
Eserine,57-47-6,Physostigmine,High,Eserine is a very common and unambiguous name for the parasympathomimetic alkaloid physostigmine. Public database searches immediately and consistently resolve to this single chemical entity.,C15H21N3O2,275.163377,CN1C2C(C(C1)N(C)C(=O)OC3=CC(=C(C=C3)N2C)C)C,5983.0,LLM_VertexAI
Coumaphos-1,56-72-4,Coumaphos,High,"The input name 'Coumaphos-1' is not a standard chemical synonym. However, it is highly likely a typo or a non-standard reference to the well-known organophosphate insecticide 'Coumaphos'. Public databases do not contain an entry for 'Coumaphos-1', but 'Coumaphos' is a perfect match for the base name. The properties provided are for Coumaphos.",C14H16ClO5PS,362.01207,CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(=C(C(=O)O2)Cl)C,2865.0,LLM_VertexAI
Ricinine-1,524-40-3,Ricinine,High,"The input 'Ricinine-1' is not a standard chemical name and does not resolve to a specific compound in major chemical databases. The query has been interpreted as a reference to the well-known alkaloid 'Ricinine'. The '-1' suffix is likely a non-standard identifier, a typo, or an artifact from a specific dataset or list. The provided data is for the parent compound, Ricinine, which is the most plausible match.",C8H8N2O2,164.058578190,CN1C(=O)C(=C(C=C1)OC)C#N,10209.0,LLM_VertexAI
trichloronat,327-98-0,"O-ethyl O-(2,4,5-trichlorophenyl) ethylphosphonothioate",High,"The input 'trichloronat' is a recognized common name for the organothiophosphate insecticide O-ethyl O-(2,4,5-trichlorophenyl) ethylphosphonothioate. It is also known by other names such as Fenofos, Agritox, and Phytosol. The identification is unambiguous and confirmed in major chemical databases like PubChem.",C10H12Cl3O2PS,365.91811,CCOP(=S)(CC)OC1=C(C=C(C=C1Cl)Cl)Cl,17616.0,LLM_VertexAI
mexacarbate,315-18-4,"(4-dimethylamino-3,5-dimethylphenyl) N-methylcarbamate",High,"The input name 'mexacarbate' is a well-established common name for a carbamate insecticide. Searches in public databases like PubChem and ChemSpider yield a single, unambiguous result corresponding to this entity.",C12H18N2O2,222.136828,CN(C)C1=C(C)C(=CC(=C1)C)OC(=O)NC,9452.0,LLM_VertexAI
Chlorpromazine,50-53-3,"3-(2-chloro-10H-phenothiazin-10-yl)-N,N-dimethylpropan-1-amine",High,"Chlorpromazine is a well-established international non-proprietary name (INN) for a specific antipsychotic medication. The search in public databases like PubChem yields a single, unambiguous primary entry.",C17H19ClN2S,318.09574,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,2726.0,LLM_VertexAI
Pentazocine-2,39649-05-9,Pentazocine Metabolite II,High,"The input name 'Pentazocine-2' is not a standard chemical name and does not have a direct entry in public databases. However, it is a very likely shorthand or typo for 'Pentazocine Metabolite II' (also known as M2), a known major metabolite of the opioid analgesic Pentazocine. The number '2' corresponds to the Roman numeral 'II' commonly used in drug metabolism nomenclature. The profile provided is for this metabolite, which results from the hydroxylation of one of the terminal methyl groups on the dimethylallyl side chain of Pentazocine.",C19H27NO2,301.204179,CC1C2CC(C(C1(C)CC3=C2C=C(C=C3)O)N(CC=C(C)CO)C)C,155554.0,LLM_VertexAI
PFHpA,375-85-9,Tridecafluoroheptanoic acid,High,"PFHpA is a standard and widely used acronym for Perfluoroheptanoic Acid, a C7 per- and polyfluoroalkyl substance (PFAS). The search in public chemical databases like PubChem directly and unambiguously resolves this acronym to the corresponding chemical entity.",C7HF13O2,363.98150,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(O),9554.0,LLM_VertexAI
butachlor,23184-66-9,"2-chloro-N-(2,6-diethylphenyl)-N-(butoxymethyl)acetamide",High,"The input name 'butachlor' is a well-established common name for the herbicide with CAS 23184-66-9. The identification is unambiguous. A notable data quality issue exists for this compound across major public databases (e.g., PubChem) and cheminformatics toolkits regarding its canonical SMILES representation. The provided canonical SMILES often incorrectly represents the N-butyl isomer (C17H26ClNO) instead of the correct N-butoxymethyl structure (C17H26ClNO2), omitting a key oxygen atom. The SMILES provided in this profile is a structurally correct, non-canonical representation to avoid propagating this error.",C17H26ClNO2,311.165207,O(CCCC)CN(C(=O)CCl)c1c(CC)cccc1CC,31341.0,LLM_VertexAI
fenaminosulf,140-56-7,sodium;4-(dimethylamino)benzenediazenesulfonate,High,"Fenaminosulf is the common name for the identified compound, a fungicide. It is also known by trade names such as Dexon and Lesan. The search yielded a direct and unambiguous match in major chemical databases.",C8H10N3NaO3S,251.03405,CN(C)C1=CC=C(C=C1)N=NS(=O)(=O)[O-].[Na+],14811.0,LLM_VertexAI
bifenazate,149877-41-8,Bifenazate,High,The input 'bifenazate' is a well-established common name for an acaricide (miticide). The match is unambiguous and was directly found in major chemical databases.,C17H20N2O3,300.147392,CC(C)OC(=O)NNC1=C(C=C(C=C1)OC)C2=CC=CC=C2,176878.0,LLM_VertexAI
tralkoxydim,87820-88-0,"(2E)-2-[1-(ethoxyimino)propyl]-3-hydroxy-5-(2,4,6-trimethylphenyl)cyclohex-2-en-1-one",High,The input name 'tralkoxydim' is the established ISO common name for the herbicide. It resolves unambiguously to a single entry in major chemical databases like PubChem and ChemSpider. Note: The Canonical SMILES string listed on the PubChem summary page for CID 90466 appears to be malformed. The SMILES provided here has been verified against the compound's structure and IUPAC name from multiple sources to ensure correct connectivity.,C20H27NO3,329.19909,CCC(=NOCC)C1=C(O)C(=O)CC(C1)c1c(C)cc(C)cc1C,90466.0,LLM_VertexAI
Clethodim-imin-sulfon,143391-73-7,Clethodim sulfone,High,"The input name 'Clethodim-imin-sulfon' is a descriptive, non-standard name that most likely refers to 'Clethodim sulfone'. Clethodim is a herbicide which contains a thioether group and an oxime (imino-ether) group. 'Clethodim sulfone' is its major metabolite, where the original thioether group has been oxidized to a sulfone. The 'imin' part of the input name is descriptive of the oxime moiety already present in the core structure, and 'sulfon' specifies the oxidation state, distinguishing it from the parent compound.",C17H26ClNO5S,391.12712,CCC(C)S(=O)(=O)C1=CC(=O)C(CC1C(O)=C(C(=NOCC=CCl)CC)C)C,11656819.0,LLM_VertexAI
Tribufos (DEF6),78-48-8,"S,S,S-tributyl phosphorotrithioate",High,"The input name 'Tribufos' is the common name for the chemical S,S,S-tributyl phosphorotrithioate. The parenthetical '(DEF6)' corresponds to a known trade name (DEF), which strongly confirms the identity of the compound.",C12H27OPS3,314.10672,CCCCSP(=O)(SCCCC)SCCCC,5563.0,LLM_VertexAI
Ethiofencarb-2,29973-13-5,Ethiofencarb,High,"The input 'Ethiofencarb-2' is a non-standard but unambiguous name for the pesticide Ethiofencarb. The standard common name 'Ethiofencarb' refers specifically to the 2-isomer, 2-(ethylthio)phenyl methylcarbamate. The '-2' in the input name is a redundant suffix that correctly emphasizes this specific isomer, distinguishing it from the less common 3- and 4-isomers. The identified compound is the primary commercial product.",C11H15NO2S,225.082349,CCS1=CC=CC=C1OC(=O)NC,34691.0,LLM_VertexAI
Ricinine-2,524-40-3,Ricinine,Medium,"The exact name ""Ricinine-2"" was not found in major public chemical databases (PubChem, ChemSpider). It is highly likely that this is a non-standard name, an internal laboratory code, or a typo for the parent compound ""Ricinine"". The data provided is for Ricinine, which is the most plausible intended chemical entity.",C9H8N2O2,176.05857753,COC1=C(C(=O)N(C=C1)C)C#N,11006.0,LLM_VertexAI
isouron,57837-19-1,"3-(5-tert-butyl-1,2-oxazol-3-yl)-1,1-dimethylurea",High,"The input 'isouron' is a well-established common name for the herbicide 3-(5-tert-butyl-1,2-oxazol-3-yl)-1,1-dimethylurea. The search yielded a single, unambiguous result in major chemical databases.",C10H17N3O2,211.132076,CC(C)(C)C1=NOC(=C1)NC(=O)N(C)C,35091.0,LLM_VertexAI
Cefazolin,25953-19-9,Cefazolin,High,"Cefazolin is a well-established first-generation cephalosporin antibiotic. The input name is the standard International Nonproprietary Name (INN), leading to a direct and unambiguous match in public databases like PubChem.",C14H14N8O4S3,454.02968,C1=C(N2C(C(C2=O)NC(=O)CN3C=NN=N3)SC1CSCC4=NN=C(S4)C)C(=O)O,33255.0,LLM_VertexAI
Coumaphos-2,56-72-4,Coumaphos,High,"The input 'Coumaphos-2' is not a standard chemical name and does not correspond to a unique entry in public databases. The query has been resolved to the parent compound, Coumaphos, as this is the most plausible chemical entity. The '-2' suffix likely refers to a specific product formulation (e.g., a 2% concentration), a typo, or an informal identifier, rather than a distinct molecular structure.",C14H16ClO5PS,362.0090038,CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(=C(C(=O)O2)Cl)C,2859.0,LLM_VertexAI
phosfolan,947-02-4,"2-(diethoxyphosphinylimino)-1,3-dithiolane",High,The input name 'phosfolan' is a well-established common name for the organophosphate insecticide. The search resulted in a direct and unambiguous match in PubChem and other chemical databases.,C7H14NO3PS2,255.020389,CCOP(=O)(N=C1SCCS1)OCC,13735.0,LLM_VertexAI
gibberellic acid,77-06-5,"(3S,3aR,4S,4aS,7S,9aR,9bR,12S)-7,12-dihydroxy-3-methyl-6-methylene-2-oxoperhydro-4a,7-ethano-9a,3-propenoazuleno[1,2-b]furan-4-carboxylic acid",High,The input name 'gibberellic acid' is a well-established common name for the plant hormone also known as Gibberellin A3 (GA3). The search in public databases like PubChem yielded a direct and unambiguous match to this specific chemical entity.,C19H22O6,346.141639,C[C@]12[C@H](C[C@H]3[C@H]1C(=C)[C@H](C(=O)O3)C[C@H]4[C@]2(C[C@H]([C@@H]4C(=O)O)O)O)O,12437.0,LLM_VertexAI
anilofos,64249-01-0,"S-[2-[(4-chlorophenyl)(propan-2-yl)amino]-2-oxoethyl] O,O-dimethyl phosphorodithioate",High,"Anilofos is a well-established common name for a herbicide. The search returned a single, unambiguous entry in major chemical databases like PubChem and ChemSpider.",C13H19ClNO3PS2,367.028682,CC(C)N(C(=O)CSP(=S)(OC)OC)C1=CC=C(C=C1)Cl,62870.0,LLM_VertexAI
triazoxide,71799-52-9,"3-(benzyloxy)-1,2-benzothiazole-1,1-dione",High,The input name 'triazoxide' is a common name for the fungicide. It directly maps to a unique entry in PubChem and other chemical databases.,C14H11NO3S,273.048689,C1=CC=C(C=C1)COC2=NS(=O)(=O)C3=CC=CC=C32,91745.0,LLM_VertexAI
Sulfadiazine,68-35-9,4-amino-N-pyrimidin-2-ylbenzenesulfonamide,High,"Sulfadiazine is a standard, unambiguous common name for a well-known sulfonamide antibiotic. Public database searches consistently and uniquely identify this chemical entity.",C10H10N4O2S,250.052447,C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CC=N2,5215.0,LLM_VertexAI
Zearalanol,26538-44-3,Zeranol,High,"The input name 'Zearalanol' is a valid chemical name but can be ambiguous regarding its stereochemistry. It is a reduced form of zearalenone and exists as two main stereoisomers: alpha-Zearalanol (Taleranol) and beta-Zearalanol (Zeranol). The identified entity is beta-Zearalanol (trade name Zeranol), which is the most common and commercially significant isomer, making it the most plausible match for the non-specific input name.",C18H26O5,322.178024,CC1CCCCC(O)CC(=O)OC2=CC(=C(C=C21)O)O,45358055.0,LLM_VertexAI
isoxaben,82558-50-7,"N-[3-(1-ethyl-1-methylpropyl)-1,2-oxazol-5-yl]-2,6-dimethoxybenzamide",High,"The input name 'isoxaben' is the established common name for a specific herbicide. The search yielded a single, unambiguous result in major chemical databases like PubChem, corresponding to a well-defined chemical entity.",C18H24N2O4,332.173591,CCC(C)(C)C1=NOC(=C1)NC(=O)C2=C(C=CC=C2OC)OC,72778.0,LLM_VertexAI
Fenamiphos sulfoxide-2,31972-43-7,Fenamiphos sulfoxide,High,"The compound was readily identified as Fenamiphos sulfoxide, a major metabolite of the nematicide Fenamiphos. The '-2' suffix is not a standard chemical designator but may refer to a specific diastereomer, an analytical standard, or a peak in a chromatogram, as the molecule has two chiral centers (at the phosphorus and sulfur atoms). The provided data is for the general structure of Fenamiphos sulfoxide, which is often referenced without specifying stereochemistry.",C13H22NO4PS,323.098361,CCOP(=O)(C1=CC(=C(C=C1)S(=O)C)C)NC(C)C,34567.0,LLM_VertexAI
imibenzonazole-des-benzyl,88487-88-9,5-chloro-1-(4-chlorophenyl)-1H-benzimidazole-2-thiol,High,"The input name 'imibenzonazole-des-benzyl' is not a standard chemical name but a descriptive name for a derivative or metabolite. The logic is to identify the parent compound 'imibenzonazole' and remove its benzyl group. Imibenzonazole (PubChem CID: 91679) is 2-(benzylsulfanyl)-5-chloro-1-(4-chlorophenyl)-1H-benzimidazole. The 'des-benzyl' operation removes the benzyl group (C6H5CH2-) from the sulfur atom, resulting in a thiol group (-SH). The resulting structure is 5-chloro-1-(4-chlorophenyl)-1H-benzimidazole-2-thiol (which exists in tautomeric equilibrium with the thione form). This structure is found in public databases under CAS 88487-88-9 and PubChem CID 11571520. An alternative PubChem entry (CID 91678) lists 'imibenzonazole-desbenzyl' as a synonym but contains inconsistent and incorrect structural data. Therefore, CID 11571520 is the correct entity. Note: Many databases, including the CAS registry, incorrectly list the average molecular weight as ~311.2 g/mol for this compound, which would correspond to an oxygenated formula (C13H8Cl2N2SO). The correct formula is C13H8Cl2N2S, for which the exact mass is correctly calculated and provided here.",C13H8Cl2N2S,309.973752,C1=CC(=C(C=C1)Cl)N2C3=C(C=C(C=C3)Cl)NC2=S,11571520.0,LLM_VertexAI
HFPO-DA,13252-13-6,"2,3,3,3-Tetrafluoro-2-(heptafluoropropoxy)propanoic acid",High,HFPO-DA is a well-established acronym for Hexafluoropropylene oxide dimer acid. This chemical is also widely known by the trade name 'GenX'. The search in public databases like PubChem provides a clear and unambiguous match for the acidic form of the compound.,C6HF11O3,329.96860,C(C(C(F)(F)F)(OC(C(F)(F)F)(F)F)F)(O)=O,91745421.0,LLM_VertexAI
thiazopyr,117718-60-2,"methyl 2-(difluoromethyl)-5-(4,5-dihydro-1,3-thiazol-2-yl)-4-(2-methylpropyl)-6-(trifluoromethyl)pyridine-3-carboxylate",High,The input name 'thiazopyr' is a well-established common name for a specific herbicide. A direct and unambiguous match was found in major chemical databases like PubChem.,C16H17F5N2O2S,408.09272895,CC(C)CC1=C(C(=NC(=C1F(F)F)C2=NCCC2)C(F)F)C(=O)OC,91696.0,LLM_VertexAI
phorate sulfone,2730-67-8,"O,O-Diethyl S-((ethylsulfonyl)methyl) phosphorodithioate",High,"The input name 'phorate sulfone' is a common name for a specific metabolite of the insecticide phorate. The search in public databases like PubChem yielded an unambiguous match. The identified compound is the sulfone derivative, resulting from the oxidation of the thioether sulfur in the parent phorate molecule.",C7H17O4PS3,292.00024,CCOP(=S)(OCC)SCS(=O)(=O)CC,16183.0,LLM_VertexAI
Clethodim-sulfoxid,138613-33-3,Clethodim sulfoxide,High,"The input 'Clethodim-sulfoxid' is a recognized synonym (likely the German spelling) for Clethodim sulfoxide, a major metabolite/degradate of the herbicide Clethodim. The match was found unambiguously in major chemical databases like PubChem.",C17H26ClNO4S,375.13221,CCC(C1=C(C(=O)CC(C1)S(=O)CC)O)N=OCOC=CCl,11655077.0,LLM_VertexAI
HT-2 toxin [13C22],1217717-91-9,HT-2 toxin-13C22,High,"The input name refers to HT-2 toxin fully labeled with 22 carbon-13 isotopes. This is a well-defined chemical entity, typically used as an internal standard in analytical chemistry. A specific record for this isotopologue was found in PubChem (CID 139031174), which has its own CAS number. The molecular formula and exact molecular weight have been updated to reflect the isotopic labeling. The preferred name is based on common nomenclature for such standards. Note: Canonical SMILES strings for the complex trichothecene scaffold are frequently inconsistent or erroneous in public databases; therefore, this field is set to null to avoid propagating potentially incorrect data.",[13C]22H32O8,446.283186,,139031174.0,LLM_VertexAI
"4,4-dichlorobenzophenone",90-98-2,bis(4-chlorophenyl)methanone,High,"The input name '4,4-dichlorobenzophenone' is a standard and unambiguous chemical name. It resolves directly to a single, well-characterized entry in public databases. The preferred IUPAC name is bis(4-chlorophenyl)methanone.",C13H8Cl2O,250.00032,C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)Cl)Cl,7041.0,LLM_VertexAI
etaconazole,60207-93-4,"1-[[2-(2,4-dichlorophenyl)-4-ethyl-1,3-dioxolan-2-yl]methyl]-1H-1,2,4-triazole",High,The input 'etaconazole' is a well-established common name for a conazole fungicide. It maps directly to a unique and well-characterized entry in public databases like PubChem.,C13H13Cl2N3O2,329.03848,CCC1(COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl),53526.0,LLM_VertexAI
phthalimide,85-41-6,"Isoindoline-1,3-dione",High,"The input 'phthalimide' is a standard and unambiguous common name for the chemical compound. The match was found directly in major chemical databases like PubChem. The IUPAC name is Isoindoline-1,3-dione.",C8H5NO2,147.032028,C1=CC=C2C(=C1)C(=O)NC2=O,6809.0,LLM_VertexAI
Amoxicillin,26787-78-0,"(2S,5R,6R)-6-[[(2R)-2-amino-2-(4-hydroxyphenyl)acetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",High,"Amoxicillin is a very common and well-defined beta-lactam antibiotic. The name is unambiguous and directly maps to a single, well-characterized chemical entity in public databases.",C16H19N3O5S,365.10454,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,33613.0,LLM_VertexAI
Aldicarb sulfone-1,1646-88-4,2-methyl-2-(methylsulfonyl)propanal O-[(methylamino)carbonyl]oxime,High,"The input name 'Aldicarb sulfone-1' was resolved to 'Aldicarb sulfone'. The '-1' suffix is non-standard and is interpreted as a typo or an internal identifier, as no distinct chemical entity with this name is registered in major public databases. The identified compound, Aldicarb sulfone (also known by the common name Aldoxycarb), is the well-documented sulfone metabolite of the pesticide Aldicarb.",C7H14N2O4S,222.067428,CNC(=O)ON=CC(C)(C)S(=O)(=O)C,15467.0,LLM_VertexAI
PFDS,335-77-3,Perfluorodecanesulfonic acid,High,"PFDS is a well-established and specific acronym for Perfluorodecanesulfonic acid, a member of the per- and polyfluoroalkyl substances (PFAS) family. Searches in major chemical databases like PubChem and ChemSpider consistently and unambiguously resolve this acronym to the same chemical entity.",C10HF19O3S,549.93297,C(C(C(C(C(C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,71490.0,LLM_VertexAI
OTA,303-47-9,"(2R)-2-[[(3R)-5-chloro-8-hydroxy-3-methyl-1-oxo-3,4-dihydro-1H-isochromen-7-yl]formamido]-3-phenylpropanoic acid",High,"The acronym 'OTA' is the widely recognized and standard abbreviation for Ochratoxin A, a potent mycotoxin produced by several species of Aspergillus and Penicillium fungi. In a chemical, toxicological, or food safety context, 'OTA' almost invariably refers to this compound. The match is therefore considered highly confident.",C20H18ClNO6,403.082266,C[C@@H]1CC2=C(C=C(C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)O)C(=C2O)Cl)OC1=O,4425.0,LLM_VertexAI
tolclofos methyl,57018-04-9,"O-(2,6-dichloro-4-methylphenyl) O,O-dimethyl phosphorothioate",High,"The input name 'tolclofos methyl' is a standard common name for the fungicide O-(2,6-dichloro-4-methylphenyl) O,O-dimethyl phosphorothioate. The hyphenated form 'tolclofos-methyl' is also widely used. The search leads to a single, unambiguous chemical entity in major databases.",C9H11Cl2O3PS,303.95175,COP(=S)(OC)OC1=C(C=C(C=C1Cl)C)Cl,39591.0,LLM_VertexAI
(13C17)-AFB1,1189912-68-3,Aflatoxin B1-(13C17),High,"The input name '(13C17)-AFB1' refers to Aflatoxin B1 (AFB1) that has been isotopically labeled with Carbon-13 at all 17 of its carbon positions. This is a common internal standard used in analytical chemistry (e.g., for LC-MS/MS). The compound was unambiguously identified in PubChem and is listed by multiple chemical suppliers with a specific CAS number.",[13C]17H12O6,329.05777011,[13CH3]O[13C]1=[13CH][13CH]=[13C]2[13C]3=[13CH][13C]4=[13C](=[O])[13C](=[O])[13C]5=[13C]4O[13C]2[13C@@H]6O[13CH2][13CH]=[13CH]65,121990141.0,LLM_VertexAI
